"","DSP-1001660005648-A-C05.dcc","DSP-1001660005648-A-C06.dcc","DSP-1001660005648-A-C07.dcc","DSP-1001660005648-A-C08.dcc","DSP-1001660005648-A-C10.dcc","DSP-1001660005648-A-C12.dcc","DSP-1001660005648-A-D01.dcc","DSP-1001660005648-A-D02.dcc","DSP-1001660005648-A-D03.dcc","DSP-1001660005648-A-D04.dcc","DSP-1001660005648-A-D05.dcc","DSP-1001660005648-A-D06.dcc","DSP-1001660005648-A-D07.dcc","DSP-1001660005648-A-D08.dcc","DSP-1001660005648-A-D09.dcc","DSP-1001660005648-A-D10.dcc","DSP-1001660005648-A-E01.dcc","DSP-1001660005648-A-E02.dcc","DSP-1001660005648-A-E03.dcc","DSP-1001660005648-A-E04.dcc","DSP-1001660005648-A-E06.dcc","DSP-1001660005648-A-E07.dcc","DSP-1001660005649-B-B11.dcc","DSP-1001660005649-B-B12.dcc","DSP-1001660005649-B-C01.dcc","DSP-1001660005649-B-C02.dcc","DSP-1001660005649-B-C05.dcc","DSP-1001660005649-B-C06.dcc","DSP-1001660005649-B-C07.dcc","DSP-1001660005649-B-C08.dcc","DSP-1001660005649-B-C09.dcc","DSP-1001660005649-B-C12.dcc","DSP-1001660005649-B-D01.dcc","DSP-1001660005649-B-D02.dcc","DSP-1001660005649-B-D03.dcc","DSP-1001660005649-B-D04.dcc","DSP-1001660005649-B-D05.dcc","DSP-1001660005649-B-D07.dcc","DSP-1001660005649-B-E09.dcc","DSP-1001660005649-B-E12.dcc","DSP-1001660005649-B-F01.dcc","DSP-1001660005649-B-F02.dcc","DSP-1001660005649-B-F05.dcc","DSP-1001660005649-B-F07.dcc","DSP-1001660005649-B-F09.dcc","DSP-1001660005649-B-F11.dcc","DSP-1001660005649-B-F12.dcc","DSP-1001660005649-B-G01.dcc","DSP-1001660005649-B-G03.dcc","DSP-1001660005649-B-G06.dcc","DSP-1001660005649-B-G07.dcc","DSP-1001660005649-B-G08.dcc","DSP-1001660005649-B-G11.dcc","DSP-1001660005649-B-H01.dcc","DSP-1001660005649-B-H02.dcc","DSP-1001660005649-B-H05.dcc","DSP-1001660005649-B-H06.dcc","DSP-1001660005649-B-H08.dcc","DSP-1001660005649-B-H09.dcc","DSP-1001660005649-B-H12.dcc","DSP-1001660012098-D-A02.dcc","DSP-1001660012098-D-A03.dcc","DSP-1001660012098-D-A06.dcc","DSP-1001660012098-D-A09.dcc","DSP-1001660012098-D-B02.dcc","DSP-1001660012098-D-B03.dcc","DSP-1001660012099-C-E02.dcc","DSP-1001660012099-C-E03.dcc","DSP-1001660012099-C-E04.dcc","DSP-1001660012099-C-E05.dcc","DSP-1001660012099-C-E06.dcc","DSP-1001660012099-C-E07.dcc","DSP-1001660012099-C-E08.dcc","DSP-1001660012099-C-E09.dcc","DSP-1001660012099-C-E10.dcc","DSP-1001660012099-C-E11.dcc","DSP-1001660012099-C-F02.dcc","DSP-1001660012099-C-F03.dcc","DSP-1001660012099-C-F06.dcc","DSP-1001660012099-C-F07.dcc","DSP-1001660012099-C-F08.dcc","DSP-1001660012099-C-F09.dcc","DSP-1001660012099-C-F10.dcc","DSP-1001660012099-C-F11.dcc","DSP-1001660012099-C-G01.dcc","DSP-1001660012099-C-G02.dcc","DSP-1001660012099-C-G03.dcc","DSP-1001660012099-C-G04.dcc","DSP-1001660012099-C-G05.dcc","DSP-1001660012099-C-G06.dcc","DSP-1001660012099-C-G09.dcc","DSP-1001660012099-C-G12.dcc","DSP-1001660012099-C-H07.dcc"
"LYPLA1",2,1,1,9,1,58,3,2,2,1,4,9,0,4,3,0,0,2,2,1,1,2,1,3,2,6,6,3,3,10,12,1,0,5,5,4,1,2,4,6,2,1,7,1,3,3,4,5,1,3,1,3,19,24,3,4,10,14,5,1,2,1,25,8,4,9,1,2,3,3,4,17,72,4,4,1,8,19,2,5,3,1,6,22,5,1,3,2,1,17,7,4,0
"IFI30",32,31,1,21,11,18,12,10,14,8,14,10,3,6,4,13,11,8,1,12,14,6,8,40,68,1,105,3,38,62,12,23,4,14,13,30,3,12,27,14,58,38,50,23,8,22,7,77,23,17,35,9,32,49,201,6,44,36,36,9,64,31,20,447,15,59,19,17,20,15,65,78,14,27,30,21,75,100,6,23,68,15,54,74,64,6,28,18,6,46,36,95,10
"TIMM17A",5,1,1,0,2,3,5,1,4,1,2,4,1,2,9,3,2,2,0,3,3,2,2,2,9,6,4,4,9,20,31,1,1,0,11,5,0,3,2,3,2,1,8,5,5,5,2,12,0,2,0,3,16,22,7,2,11,7,3,1,2,3,20,11,2,3,7,1,1,4,23,7,23,1,7,2,5,8,1,7,2,1,5,26,7,7,7,2,5,13,6,2,1
"HMG20B",3,5,1,0,0,4,2,0,2,0,1,14,0,1,8,1,10,1,3,2,4,2,6,2,8,4,6,2,2,19,15,2,1,1,7,3,7,2,2,2,1,1,8,2,4,8,3,1,4,1,2,2,15,13,5,2,3,18,6,2,0,6,18,8,7,1,1,0,2,4,14,8,38,2,2,4,6,10,1,4,4,2,9,8,6,4,1,7,9,5,4,4,1
"MERTK",2,3,2,4,3,0,1,0,2,0,1,0,2,1,3,7,1,3,1,2,1,0,0,2,0,2,8,0,3,1,0,2,2,1,2,1,1,1,4,3,1,0,10,0,2,1,5,5,4,2,1,0,14,22,6,3,0,5,6,3,0,4,11,7,10,2,3,5,3,10,14,7,5,5,9,3,7,2,5,1,12,7,6,3,17,6,4,5,3,9,2,7,1
"SLC30A9",0,6,0,3,0,3,2,0,1,0,2,8,0,0,1,0,0,0,1,0,2,0,1,1,1,4,9,6,1,4,10,2,0,1,5,0,1,0,8,1,1,2,10,1,2,3,1,4,0,2,2,5,20,6,5,2,3,7,7,1,1,2,17,11,0,2,2,2,2,2,8,5,31,0,2,6,0,19,0,5,7,3,10,6,7,1,3,1,2,5,4,5,1
"COG5",1,3,1,0,1,0,1,1,0,0,2,4,4,5,1,1,0,2,1,3,2,1,5,0,5,7,7,1,3,2,3,1,3,5,2,2,1,17,2,3,3,2,11,0,3,6,5,2,4,4,1,3,11,13,3,4,2,3,1,4,3,1,11,9,5,7,1,3,2,3,7,2,6,2,7,3,5,11,1,1,5,3,4,14,5,5,5,3,2,9,0,6,0
"ZNHIT1",7,9,5,4,0,4,2,1,4,0,7,14,7,3,8,3,3,5,3,2,2,3,0,4,3,8,13,8,12,12,22,3,2,14,15,3,1,1,34,2,5,6,14,2,11,16,11,25,7,5,1,7,19,35,20,6,16,29,10,3,5,12,23,22,10,14,4,7,4,12,18,18,29,3,17,2,16,29,2,17,14,5,21,19,20,10,8,10,5,13,9,11,4
"HMGN4",4,4,1,4,0,2,2,4,3,1,3,10,1,0,6,1,0,3,0,0,1,1,6,6,10,4,12,7,9,11,11,3,0,4,7,4,3,3,10,5,8,4,7,2,3,3,6,10,4,1,9,2,8,15,15,4,16,6,8,7,7,8,19,15,6,12,4,6,7,5,16,7,12,3,12,4,9,7,3,28,9,3,7,7,7,10,5,5,2,5,7,8,5
"ATP5PD",7,3,6,1,1,11,1,2,3,3,8,11,3,2,16,6,1,3,2,5,5,2,1,5,28,7,36,5,9,47,13,8,4,8,5,13,6,3,9,8,6,6,23,1,11,12,6,17,10,5,2,9,29,33,10,6,22,18,11,3,1,9,40,22,5,11,8,7,3,11,28,17,52,9,18,11,13,31,23,10,6,5,29,20,13,16,9,7,13,19,11,8,2
"UBE2E3",2,5,4,1,1,1,0,0,5,3,1,4,1,3,3,0,1,0,1,1,1,1,3,6,5,6,16,6,5,11,5,2,1,4,2,3,2,0,2,1,1,4,5,1,9,8,13,5,2,2,2,11,11,21,6,7,12,15,7,1,1,8,7,9,11,6,2,4,3,8,12,15,35,3,7,1,9,15,2,11,8,1,11,7,8,4,8,7,2,6,8,7,6
"EIF3M",3,5,2,3,1,5,4,2,0,1,8,8,3,2,8,2,2,3,3,2,1,3,6,10,17,6,14,6,8,26,19,1,2,2,6,8,2,0,14,4,4,1,12,5,6,9,17,14,5,4,4,7,16,11,14,10,17,9,14,4,5,5,19,34,10,12,8,11,6,3,13,13,72,6,12,6,6,38,3,19,14,4,15,23,10,11,12,14,12,15,11,7,4
"NXF1",2,2,0,1,0,2,3,0,3,1,1,5,0,2,4,0,0,1,0,2,0,0,3,2,2,3,11,3,8,8,9,1,1,5,7,3,0,1,1,4,4,2,6,1,7,1,6,2,1,1,2,1,10,12,2,3,5,4,6,1,3,3,7,13,3,5,4,6,5,3,16,6,20,1,2,3,8,9,3,3,6,7,7,4,6,2,4,6,3,8,2,2,1
"CAP1",6,12,2,2,3,13,4,1,12,4,12,11,2,1,14,8,0,2,3,3,9,3,1,12,16,9,37,2,10,19,64,5,0,9,38,13,3,6,14,20,12,7,30,4,12,9,8,18,13,7,5,15,21,20,20,6,16,35,24,9,21,11,42,38,9,24,15,10,12,17,31,35,88,8,17,8,20,109,11,9,23,5,34,31,19,17,23,16,14,32,28,22,2
"CREB3",5,1,0,5,0,1,3,0,2,2,1,2,2,2,1,2,2,2,0,0,2,1,5,3,4,3,4,3,8,7,11,1,3,3,4,3,1,0,3,2,3,1,12,0,4,6,3,10,0,5,1,2,14,13,4,2,15,7,3,2,6,3,21,4,9,7,3,5,1,0,6,3,28,1,2,3,6,9,2,5,3,8,7,5,6,1,6,7,6,6,3,1,3
"VAT1",1,1,1,0,2,2,3,2,2,0,3,2,1,3,1,7,0,0,1,1,0,0,5,0,6,10,3,1,7,6,19,0,0,4,17,5,1,0,3,2,2,0,14,4,2,1,5,2,6,0,2,6,6,14,11,2,12,6,6,2,1,2,13,16,7,3,3,1,3,5,7,10,10,3,4,0,8,8,3,2,12,3,8,8,11,6,4,2,5,13,9,4,1
"SEMA3C",2,4,0,2,2,5,0,2,0,0,4,15,3,1,2,2,1,0,1,1,0,1,2,1,3,9,3,0,4,6,22,0,0,0,14,0,0,1,2,1,2,2,4,3,5,9,2,1,2,1,4,8,5,13,1,1,1,33,2,1,2,4,11,4,1,2,2,4,1,0,32,5,9,1,1,6,1,2,6,3,7,0,15,14,7,2,3,0,7,0,6,5,3
"HYOU1",4,4,0,2,3,0,1,0,3,0,7,4,0,2,3,1,2,0,1,1,3,2,2,1,9,5,24,3,3,16,18,4,0,0,7,9,4,2,5,1,6,2,10,2,7,12,3,62,4,4,1,8,6,21,19,2,64,17,6,8,2,2,16,24,4,11,5,4,3,3,3,15,43,3,3,4,9,33,6,5,9,9,18,15,5,2,49,14,10,10,8,10,1
"IPO7",2,6,1,2,1,2,4,0,2,1,1,8,2,1,6,5,3,4,1,2,4,3,4,2,2,4,11,3,3,8,8,1,0,5,10,7,2,4,5,6,6,3,14,3,4,8,7,12,9,3,5,4,17,31,8,8,8,6,10,0,6,3,15,12,15,10,7,3,4,7,20,11,33,4,15,4,4,45,2,13,10,2,3,13,10,14,13,3,5,10,7,3,3
"LAMTOR5",2,2,1,0,1,0,3,0,7,1,4,8,4,3,3,1,3,1,3,0,0,2,2,2,3,3,7,0,5,9,11,2,1,4,8,5,3,1,1,5,2,5,4,2,3,7,4,7,0,4,3,3,8,14,8,2,16,9,3,3,2,2,8,7,4,2,1,3,3,9,9,9,13,2,7,3,6,8,5,3,4,4,7,11,9,11,6,6,1,10,7,2,2
"PRDX4",0,3,2,3,1,5,4,2,3,1,4,15,1,4,3,1,1,2,5,2,1,0,1,2,13,5,13,6,7,18,24,1,3,5,6,7,3,3,1,1,4,9,9,2,6,3,5,35,1,5,3,14,12,11,51,4,34,5,6,2,5,9,30,36,11,11,4,2,3,2,13,19,13,3,10,3,4,21,4,8,2,5,13,50,6,10,10,13,7,5,14,4,2
"ARL6IP5",6,9,2,3,5,2,6,0,5,1,1,17,3,1,12,4,2,3,2,0,5,0,6,6,15,2,15,2,13,21,10,1,3,7,11,13,1,1,11,9,16,10,18,7,5,10,4,20,6,9,9,4,21,27,16,7,16,13,12,3,12,12,34,29,8,22,10,5,3,10,20,23,38,4,6,8,14,40,5,8,17,2,18,30,9,12,16,14,5,13,17,16,4
"ARPC1A",6,4,0,2,0,1,5,0,5,1,5,8,1,0,4,2,3,1,0,1,1,5,1,1,2,11,25,3,7,4,26,2,2,6,17,4,2,4,3,4,1,2,4,2,10,9,6,13,0,3,2,3,13,23,6,10,4,25,5,4,2,6,15,12,9,5,3,8,0,7,20,14,44,1,9,4,5,20,7,8,11,3,10,19,4,12,9,9,4,8,8,6,4
"IFI44",3,2,0,2,1,1,1,0,1,1,1,0,3,0,0,0,1,2,1,1,0,0,2,1,2,1,12,5,4,5,5,0,5,3,2,1,2,2,2,0,7,4,3,2,2,3,3,3,0,2,0,0,3,5,2,6,3,2,4,3,9,0,6,5,6,2,4,6,1,5,7,4,7,2,10,4,13,5,1,3,3,8,4,5,14,5,8,4,6,17,3,2,4
"CXCL13",2,0,1,1,1,1,0,1,2,0,4,1,1,2,0,0,0,8,1,0,2,0,1,10,5,1,7,0,3,2,4,0,1,0,2,3,0,1,20,1,14,2,3,5,2,2,1,16,8,0,8,2,2,8,15,2,10,2,27,0,36,6,5,30,1,61,7,6,9,1,3,1,3,3,1,2,2,1,1,4,23,3,0,3,6,3,1,2,2,8,4,22,0
"ARFGEF2",1,4,1,1,0,1,1,1,0,1,2,8,0,2,0,0,0,2,2,2,3,2,2,0,10,3,8,2,3,10,27,1,0,1,15,4,1,1,2,1,3,1,13,1,13,5,4,4,1,1,2,4,10,15,6,6,2,9,1,2,5,1,21,8,3,4,3,2,1,5,16,4,33,3,4,0,4,10,0,5,3,2,14,19,3,2,7,0,6,11,3,5,1
"ARFGEF1",6,4,0,1,3,2,3,0,2,0,2,6,0,1,2,1,1,0,0,2,0,0,4,2,9,4,6,5,9,15,11,1,0,1,5,3,2,2,2,3,4,2,6,0,13,2,9,4,2,2,1,1,7,39,5,3,6,5,5,2,6,19,15,1,9,2,0,5,1,5,9,8,45,4,2,3,4,11,3,7,9,2,7,16,5,3,6,4,14,6,8,4,1
"RABAC1",6,8,0,2,3,2,3,3,1,1,8,15,1,2,3,1,2,0,1,1,4,1,3,7,9,6,22,5,4,8,15,0,3,6,10,7,1,3,5,7,11,5,18,1,11,9,8,46,5,6,3,9,15,32,27,1,30,12,11,6,8,7,36,24,10,7,2,10,5,6,18,25,53,3,6,6,11,23,4,24,9,6,12,16,10,9,6,7,7,16,14,1,4
"SLU7",2,2,0,2,0,1,1,0,1,0,2,7,1,2,0,0,1,1,2,1,1,0,0,1,8,5,3,2,3,7,5,4,0,2,3,2,2,3,7,1,5,3,7,1,3,8,3,4,2,3,5,4,9,20,3,3,4,3,6,1,4,4,15,7,1,4,6,5,1,3,7,4,8,2,6,3,1,8,0,7,3,2,3,5,6,1,4,10,4,5,2,8,0
"SIVA1",1,3,0,1,1,0,2,2,2,0,1,10,4,1,6,1,1,1,0,2,3,3,4,1,6,3,11,3,3,12,17,2,0,1,5,7,2,0,3,6,2,1,3,1,4,4,1,5,1,5,1,2,12,9,1,2,9,12,2,2,3,1,6,9,3,4,1,3,3,5,7,5,32,1,10,0,1,4,2,7,2,1,5,11,5,3,3,6,4,5,5,4,0
"CCT4",0,2,1,0,1,1,1,1,1,1,1,9,3,0,0,3,2,2,1,1,1,0,3,1,10,7,10,1,3,16,12,0,1,4,9,6,2,2,4,2,6,0,4,0,5,3,6,11,3,6,3,1,12,5,7,7,15,4,6,4,1,2,29,7,17,8,3,6,3,5,14,17,14,2,7,1,6,19,6,10,11,4,7,11,8,4,2,11,2,12,3,7,2
"NPC2",8,12,6,10,8,5,8,3,8,13,12,46,5,11,10,8,7,11,2,8,8,26,6,21,29,13,76,11,13,24,25,35,6,16,13,26,6,14,22,16,42,25,50,8,16,14,5,29,36,26,49,61,35,173,70,11,22,59,34,9,35,28,54,75,29,36,18,14,25,20,50,41,31,19,26,26,21,56,15,25,61,23,38,31,41,17,25,18,18,33,39,55,20
"IFITM2",3,10,4,7,1,12,16,5,7,0,8,23,5,6,16,3,3,10,7,2,2,2,13,4,22,21,30,18,12,22,43,6,5,12,29,25,8,4,10,13,11,10,15,4,38,18,27,14,11,13,4,8,21,53,27,12,21,15,18,13,15,19,37,25,22,15,7,5,7,21,36,31,42,15,22,13,28,16,11,14,18,19,23,29,25,16,19,25,13,25,18,8,11
"MTHFS",0,3,1,1,1,1,1,0,0,1,1,5,1,1,2,0,3,2,0,2,1,5,2,1,10,5,3,1,2,12,10,1,0,1,3,7,0,2,0,5,0,3,5,1,4,0,4,3,4,0,1,2,11,10,2,1,3,7,4,0,0,1,14,8,2,3,4,8,3,0,10,5,19,2,1,1,4,8,0,6,6,0,9,3,6,4,7,9,4,6,4,6,0
"DRAP1",5,0,3,8,4,6,1,2,2,3,10,8,3,1,0,1,2,3,1,4,3,5,5,4,7,5,17,5,9,15,16,2,1,1,15,4,0,2,6,2,7,2,9,2,10,14,9,14,5,6,9,3,7,24,11,7,13,13,5,3,5,2,11,16,9,13,5,6,7,6,19,11,34,5,10,3,19,24,4,12,8,5,12,6,14,11,11,8,12,12,13,12,5
"PAIP1",2,2,0,1,2,4,3,1,3,3,3,4,0,1,2,0,0,3,3,2,1,2,4,1,7,3,9,2,4,17,9,1,0,1,8,6,3,2,0,3,3,0,7,2,10,2,7,3,4,1,1,8,12,4,4,6,6,2,4,2,4,6,17,10,6,4,2,7,3,7,6,14,21,3,6,2,5,9,5,14,3,1,11,18,5,2,3,7,8,7,5,5,0
"PAICS",4,5,1,1,1,3,5,1,1,1,5,14,2,3,11,2,1,1,4,1,3,0,7,3,23,9,5,6,3,34,21,1,0,0,3,15,8,0,5,2,3,1,3,3,6,4,12,12,1,3,1,4,9,23,4,6,15,11,6,0,3,7,27,11,6,10,1,2,2,1,20,8,24,6,14,5,6,38,4,7,4,3,18,11,5,4,9,9,7,9,12,3,0
"MXD4",5,3,1,4,3,0,4,2,5,2,5,9,2,2,3,1,1,5,4,0,6,4,2,6,8,7,21,3,7,6,12,1,0,6,11,6,1,5,4,10,6,3,21,1,16,16,7,5,4,11,2,6,17,27,8,6,5,30,12,4,2,5,31,12,8,8,6,2,2,6,18,27,56,3,8,6,26,8,6,6,18,9,12,20,12,4,9,7,10,16,4,14,1
"RBCK1",2,1,1,3,2,1,5,0,1,2,3,10,0,0,1,1,1,1,1,1,1,2,2,2,2,6,9,3,4,6,10,0,1,1,6,13,1,3,4,1,2,3,2,2,4,4,0,3,3,1,1,5,10,16,5,2,5,2,6,3,7,0,11,5,0,4,2,3,0,1,6,8,6,1,4,3,7,9,3,4,3,2,9,10,8,5,6,1,5,9,1,4,2
"STAMBP",3,1,0,1,1,0,2,1,1,2,4,5,0,0,4,1,0,3,3,1,2,2,4,3,4,2,12,2,2,8,2,3,1,1,5,4,1,3,2,4,2,1,5,2,2,3,4,4,2,1,2,2,8,16,6,2,4,3,6,0,6,2,9,9,8,7,2,2,0,5,9,13,17,5,3,2,6,10,29,7,5,4,12,10,7,3,3,3,8,5,7,7,0
"IVNS1ABP",4,8,1,2,3,3,4,4,6,3,8,2,1,1,6,5,1,5,0,3,4,2,4,4,8,9,14,6,16,13,28,2,1,7,12,6,2,3,3,6,3,5,9,5,18,7,8,13,4,4,7,6,26,30,7,5,10,8,14,4,7,7,24,18,15,13,3,3,7,9,15,20,18,1,15,2,15,13,3,9,14,5,13,18,8,5,5,12,3,12,5,12,1
"MYL12A",8,3,1,3,2,4,6,1,4,0,4,6,2,4,5,4,1,3,0,3,2,1,5,8,31,1,9,8,8,40,27,4,1,5,12,20,2,2,11,6,8,2,19,2,14,10,4,7,3,15,7,5,16,21,18,7,10,12,19,11,10,15,34,17,13,21,14,3,1,9,12,23,33,4,11,1,16,56,8,11,9,5,23,18,14,12,4,8,9,19,17,9,1
"ATP5MG",84,34,29,29,27,21,18,26,17,25,61,60,25,39,22,10,29,42,17,56,29,5,43,45,85,64,114,40,35,131,80,35,13,37,97,54,25,14,68,27,70,66,55,13,79,19,41,77,54,44,40,58,46,255,86,30,82,31,62,24,72,108,57,206,45,69,39,95,34,50,61,62,68,34,48,64,28,128,41,135,81,58,94,80,55,31,117,81,20,37,67,69,34
"FBLN1",0,4,0,0,2,1,3,3,3,2,4,3,2,6,2,2,3,5,0,1,2,5,1,2,2,3,10,5,4,2,7,2,0,1,8,2,1,1,3,13,7,4,28,1,3,5,3,5,8,21,5,5,36,19,5,9,8,5,2,14,3,5,8,10,11,11,6,2,13,29,12,3,15,2,26,3,2,6,3,3,11,33,9,6,9,8,3,9,5,6,10,18,3
"ERF",6,5,1,7,4,5,7,1,4,2,8,18,6,4,5,0,1,7,1,5,1,1,7,4,14,5,11,9,9,20,14,1,3,13,14,12,2,1,11,7,7,6,12,2,10,3,9,8,7,12,3,8,19,43,16,4,11,9,12,8,9,7,14,11,7,6,5,7,3,10,19,10,33,5,14,11,16,10,3,16,6,7,13,14,23,13,9,10,7,11,7,5,3
"EVI2B",3,4,1,9,3,2,1,1,6,2,6,4,0,5,2,4,2,9,2,2,7,1,3,11,7,6,25,1,3,5,2,7,2,9,5,10,1,2,27,15,19,7,34,3,9,10,6,25,17,6,14,4,19,22,57,1,20,10,12,6,24,15,15,88,6,35,16,4,15,11,23,12,13,9,16,3,14,21,7,2,36,5,24,6,28,17,2,4,8,16,21,32,2
"GNAI3",5,6,0,3,3,2,3,3,7,2,11,13,1,0,4,3,5,3,2,2,3,0,4,2,13,8,18,4,6,10,15,4,0,5,11,2,2,3,5,3,6,5,10,2,11,9,11,14,7,4,7,8,11,27,9,4,16,14,10,4,6,2,15,21,11,15,8,6,6,6,17,14,22,5,18,3,8,30,2,9,10,6,17,12,6,6,14,7,5,13,7,3,1
"LGALS8",4,2,2,2,0,2,0,0,2,1,1,4,0,0,2,0,0,1,1,2,2,1,0,1,5,5,10,2,3,2,14,0,2,6,6,2,1,0,6,1,2,3,7,1,4,9,1,4,4,1,1,3,9,15,6,2,5,9,4,2,1,2,15,6,3,4,4,3,1,1,14,8,54,0,1,0,4,3,1,3,2,1,18,15,7,3,0,2,8,9,6,3,3
"MCAM",0,6,2,1,2,2,2,1,10,1,0,3,1,1,2,3,3,1,0,0,0,2,3,1,9,4,12,1,15,4,8,3,1,10,3,2,1,5,2,2,3,3,2,2,5,5,5,4,2,0,1,9,1,8,3,6,7,13,5,3,12,4,2,23,8,5,1,4,4,7,8,73,7,6,8,4,11,1,2,1,8,2,7,7,2,14,5,6,10,17,14,2,0
"TRIM27",2,2,0,1,1,2,1,1,1,1,6,4,1,1,0,1,2,1,1,1,0,1,4,0,5,2,6,3,1,6,12,0,1,5,4,4,1,1,1,3,6,1,7,0,1,3,1,15,4,2,1,1,5,17,8,4,7,7,4,0,3,0,11,4,2,6,5,4,4,7,6,10,17,3,1,2,4,36,2,4,2,5,5,18,4,3,3,2,8,7,9,5,2
"SLC2A1",1,0,0,2,0,1,2,0,1,1,4,3,1,3,1,0,24,8,4,4,0,0,0,0,4,19,10,3,2,10,42,1,0,1,15,4,4,2,7,8,1,0,8,20,2,4,4,3,5,3,1,0,31,12,0,2,4,8,3,9,4,1,18,6,4,5,1,2,1,3,7,5,12,4,6,3,10,27,3,10,5,8,3,9,2,4,7,1,5,17,9,3,3
"DYNLT1",3,5,1,1,2,4,2,0,4,0,4,13,1,0,14,2,4,2,2,1,2,0,7,4,7,6,16,6,4,13,11,2,3,1,17,6,2,2,3,4,3,8,12,1,9,9,6,10,2,3,8,3,13,12,6,4,8,10,11,4,9,2,25,9,3,6,4,2,4,6,21,11,21,6,8,4,12,27,5,7,7,0,12,15,13,8,5,3,7,17,13,8,5
"DYNLT3",1,1,2,0,2,0,3,0,0,0,4,7,1,2,2,2,0,0,1,0,1,0,2,4,5,11,12,2,2,27,22,1,0,7,10,4,1,0,3,1,4,5,9,5,5,3,3,4,1,6,0,1,6,16,5,5,4,7,3,3,3,1,9,3,5,6,3,2,4,3,8,10,10,3,5,6,11,12,3,5,9,5,16,15,9,9,8,8,4,7,4,2,0
"ZNF217",5,2,1,0,0,2,5,0,3,1,4,12,5,2,6,2,1,3,1,3,2,1,1,4,8,6,8,0,1,4,17,2,2,3,14,1,1,3,4,3,6,0,10,0,11,12,4,3,2,2,0,3,10,15,4,4,0,15,9,2,5,4,23,7,4,1,5,3,3,6,19,6,19,2,4,2,6,9,2,5,6,4,6,16,5,8,7,7,6,10,6,4,1
"SLBP",5,1,0,0,0,2,1,0,3,2,3,9,0,1,9,1,3,1,3,2,3,1,6,1,9,1,8,5,6,12,19,0,2,3,8,8,1,2,5,6,3,7,5,2,1,7,3,9,2,2,4,3,7,11,5,2,6,14,4,2,10,5,13,12,9,13,4,0,2,5,15,9,23,2,2,5,5,20,2,6,2,4,5,23,7,5,4,3,5,9,5,6,1
"USP3",1,3,0,3,1,1,3,0,3,2,1,10,0,1,1,1,3,3,1,1,3,2,2,3,6,2,12,1,2,2,6,2,2,2,3,4,0,1,8,3,5,1,9,1,2,6,3,4,6,1,6,2,16,12,5,3,7,5,6,6,0,2,15,14,4,2,2,2,1,1,13,2,22,2,4,2,3,9,4,3,5,3,11,11,7,3,8,1,7,2,9,6,1
"EXOC5",1,2,2,0,1,2,2,0,4,2,3,3,0,2,3,0,0,1,1,1,1,0,2,2,7,4,8,2,4,3,17,0,1,3,3,2,1,1,4,0,1,1,11,2,2,6,5,5,0,3,3,2,11,13,1,1,5,4,2,1,3,4,8,9,2,6,5,1,1,6,8,9,28,2,5,2,5,17,3,2,4,1,9,11,8,9,3,3,5,3,3,3,2
"MTX2",4,3,0,2,0,3,0,1,3,0,0,8,0,2,1,0,1,2,1,2,7,2,1,1,8,5,6,0,3,6,8,2,1,2,6,5,2,1,5,1,5,3,4,2,5,4,2,3,3,2,3,1,11,16,4,3,10,6,5,1,1,1,9,6,10,10,2,0,3,4,12,10,24,1,4,0,2,11,1,6,5,5,9,13,3,1,4,5,2,6,1,2,3
"YKT6",1,6,0,0,2,1,2,1,5,2,1,6,1,0,9,2,4,0,1,3,5,1,2,3,16,4,13,4,1,12,10,3,4,2,5,9,2,0,3,1,6,3,15,0,2,10,4,9,1,5,1,4,10,9,8,4,7,10,4,1,2,2,21,8,2,8,2,3,3,5,8,7,30,3,3,9,7,12,2,6,5,5,16,9,2,4,4,8,5,2,7,3,0
"KHDRBS1",5,4,1,1,1,2,2,1,4,1,1,10,2,3,10,3,4,2,3,1,3,3,6,3,12,12,11,8,6,18,38,0,2,4,14,6,5,2,8,4,2,3,14,1,6,7,3,11,6,3,5,4,8,20,15,5,7,8,7,0,8,3,10,14,14,13,4,9,1,6,25,13,43,5,7,5,15,6,0,12,14,5,13,32,10,13,10,5,6,16,2,5,2
"CELF1",1,2,2,1,3,3,0,1,2,0,2,4,3,1,3,2,1,0,1,0,3,3,3,6,6,4,15,3,8,6,13,1,2,5,2,6,3,1,6,4,5,3,8,1,9,2,8,10,0,4,1,0,9,19,4,6,5,7,7,0,6,2,7,12,6,9,3,6,4,5,3,14,40,2,5,1,11,8,2,13,7,2,11,30,8,4,5,10,7,10,3,5,4
"GNA13",2,1,2,1,0,0,1,2,2,0,1,4,2,3,5,5,0,0,0,1,4,2,2,3,6,5,26,4,4,5,21,2,1,2,15,7,4,1,7,6,8,5,9,15,6,3,6,11,5,6,5,1,17,24,9,1,6,5,3,7,8,5,8,16,2,15,3,8,6,7,15,8,58,6,5,2,10,6,8,9,13,6,6,5,10,7,1,2,6,10,4,6,1
"CCT8",2,3,2,3,2,2,8,0,6,0,2,10,0,2,43,3,1,2,2,3,1,3,1,1,10,8,3,5,8,12,26,3,0,2,8,5,0,1,4,4,3,2,8,0,1,3,8,17,5,2,1,0,13,11,9,6,11,3,6,3,3,9,15,7,7,10,2,0,3,6,11,12,16,1,8,4,5,21,1,3,5,4,11,9,4,9,7,8,2,7,6,6,3
